dir,speed,prob
110,2.2,7.11E-06
110,2.1,7.11E-06
110,2.2,7.11E-06
110,2.5,7.11E-06
100,2.6,7.11E-06
110,2.6,7.11E-06
110,2.3,7.11E-06
120,2.1,7.11E-06
120,2.4,7.11E-06
120,2.5,7.11E-06
120,2.3,7.11E-06
120,2.5,7.11E-06
110,2.2,7.11E-06
110,2.3,7.11E-06
110,2.4,7.11E-06
100,2.6,7.11E-06
100,2.8,7.11E-06
110,2.8,7.11E-06
110,2.7,7.11E-06
120,2.3,7.11E-06
120,2.1,7.11E-06
130,2.1,7.11E-06
120,2.2,7.11E-06
110,2,7.11E-06
120,1.8,7.11E-06
130,1.7,7.11E-06
130,1,7.11E-06
130,1,7.11E-06
120,1.2,7.11E-06
100,1.1,7.11E-06
110,1.6,7.11E-06
110,2,7.11E-06
100,2.2,7.11E-06
110,2.1,7.11E-06
100,2,7.11E-06
100,2.1,7.11E-06
110,2,7.11E-06
110,2,7.11E-06
100,2,7.11E-06
100,1.9,7.11E-06
110,1.7,7.11E-06
100,1.3,7.11E-06
110,1.1,7.11E-06
110,1.7,7.11E-06
100,2,7.11E-06
110,2.2,7.11E-06
110,2.2,7.11E-06
110,2.4,7.11E-06
110,2.4,7.11E-06
110,2.6,7.11E-06
110,2.9,7.11E-06
120,3.2,7.11E-06
120,3.7,7.11E-06
120,3.9,7.11E-06
130,4.1,7.11E-06
130,4,7.11E-06
130,3.5,7.11E-06
130,3.3,7.11E-06
130,2.8,7.11E-06
130,2.5,7.11E-06
130,2.7,7.11E-06
130,2.8,7.11E-06
140,2.9,7.11E-06
140,3,7.11E-06
140,2.7,7.11E-06
140,2.4,7.11E-06
130,2.2,7.11E-06
120,2.8,7.11E-06
120,2.7,7.11E-06
120,2.7,7.11E-06
120,2.4,7.11E-06
120,2.4,7.11E-06
120,2.3,7.11E-06
120,2.4,7.11E-06
120,2.5,7.11E-06
130,2.1,7.11E-06
120,2.3,7.11E-06
120,2.5,7.11E-06
120,2.2,7.11E-06
130,2.1,7.11E-06
130,2.3,7.11E-06
130,2.4,7.11E-06
130,2.8,7.11E-06
130,2.3,7.11E-06
130,2.5,7.11E-06
120,2.5,7.11E-06
120,2.3,7.11E-06
120,2.7,7.11E-06
120,3.3,7.11E-06
120,3.4,7.11E-06
120,3.8,7.11E-06
120,4,7.11E-06
120,4,7.11E-06
130,3.8,7.11E-06
130,4,7.11E-06
130,4,7.11E-06
130,4.2,7.11E-06
140,4.6,7.11E-06
140,4.8,7.11E-06
140,4.6,7.11E-06
140,4.5,7.11E-06
140,4.4,7.11E-06
140,4.2,7.11E-06
140,3.8,7.11E-06
140,3.5,7.11E-06
140,3.4,7.11E-06
140,3.6,7.11E-06
140,3.4,7.11E-06
140,3.6,7.11E-06
130,3.7,7.11E-06
140,4.1,7.11E-06
140,3.5,7.11E-06
140,3.3,7.11E-06
140,3.2,7.11E-06
130,3,7.11E-06
130,3.3,7.11E-06
140,3.5,7.11E-06
140,3.4,7.11E-06
140,3.1,7.11E-06
150,3.5,7.11E-06
140,3.8,7.11E-06
140,3.7,7.11E-06
140,3.9,7.11E-06
140,3.7,7.11E-06
140,3.8,7.11E-06
140,4,7.11E-06
140,4.3,7.11E-06
140,4.8,7.11E-06
150,5.1,7.11E-06
150,5,7.11E-06
150,4.5,7.11E-06
150,4.2,7.11E-06
160,3.7,7.11E-06
160,3.4,7.11E-06
150,3.4,7.11E-06
150,3.4,7.11E-06
160,4.1,7.11E-06
160,3.8,7.11E-06
160,3.9,7.11E-06
160,3.7,7.11E-06
160,3.8,7.11E-06
160,4.2,7.11E-06
160,4.2,7.11E-06
160,4,7.11E-06
160,4.6,7.11E-06
160,4.9,7.11E-06
160,5.7,7.11E-06
160,5.8,7.11E-06
160,5.8,7.11E-06
150,5.4,7.11E-06
150,5.2,7.11E-06
160,5,7.11E-06
160,4.5,7.11E-06
160,4,7.11E-06
160,3.8,7.11E-06
170,3.3,7.11E-06
170,3.1,7.11E-06
170,2.9,7.11E-06
160,2.7,7.11E-06
170,2.8,7.11E-06
170,2.9,7.11E-06
190,2.5,7.11E-06
190,2.8,7.11E-06
170,2.6,7.11E-06
160,2.5,7.11E-06
160,1.1,7.11E-06
170,0.7,7.11E-06
140,1.4,7.11E-06
140,0.6,7.11E-06
170,0.3,7.11E-06
260,0.2,7.11E-06
130,0.9,7.11E-06
110,2.6,7.11E-06
120,2.9,7.11E-06
120,3.2,7.11E-06
130,2.2,7.11E-06
130,2.3,7.11E-06
130,2.5,7.11E-06
120,2.3,7.11E-06
120,1.9,7.11E-06
130,2.1,7.11E-06
130,2.2,7.11E-06
140,2.2,7.11E-06
140,2.3,7.11E-06
140,2.5,7.11E-06
140,2.3,7.11E-06
140,2.4,7.11E-06
140,2.3,7.11E-06
140,2.3,7.11E-06
140,2.5,7.11E-06
150,2.4,7.11E-06
150,2.7,7.11E-06
150,3.4,7.11E-06
150,4.1,7.11E-06
160,3.7,7.11E-06
150,4.4,7.11E-06
150,4.9,7.11E-06
150,4.8,7.11E-06
160,5.1,7.11E-06
160,5,7.11E-06
160,5,7.11E-06
160,5.5,7.11E-06
150,5.7,7.11E-06
160,5.4,7.11E-06
160,5.1,7.11E-06
160,4.2,7.11E-06
160,4.2,7.11E-06
160,4.3,7.11E-06
160,4.5,7.11E-06
160,4.7,7.11E-06
160,4.6,7.11E-06
160,4.3,7.11E-06
160,4.2,7.11E-06
160,4.5,7.11E-06
160,4.7,7.11E-06
150,4.9,7.11E-06
150,4.8,7.11E-06
160,4.7,7.11E-06
160,4.8,7.11E-06
160,5.1,7.11E-06
160,4.9,7.11E-06
160,4.7,7.11E-06
170,5,7.11E-06
170,5.7,7.11E-06
170,5.6,7.11E-06
160,5.6,7.11E-06
160,5.7,7.11E-06
170,5.3,7.11E-06
170,4.9,7.11E-06
170,4.9,7.11E-06
160,5.3,7.11E-06
170,5.4,7.11E-06
170,5.5,7.11E-06
160,5.7,7.11E-06
160,6.1,7.11E-06
170,6,7.11E-06
170,5.8,7.11E-06
170,5.4,7.11E-06
170,5.2,7.11E-06
170,5.4,7.11E-06
170,5.3,7.11E-06
170,5.1,7.11E-06
170,4.8,7.11E-06
170,4.5,7.11E-06
170,4.2,7.11E-06
170,3.8,7.11E-06
170,4.1,7.11E-06
170,4.2,7.11E-06
170,4.1,7.11E-06
170,4.1,7.11E-06
170,4,7.11E-06
170,4.5,7.11E-06
170,4.6,7.11E-06
170,4.4,7.11E-06
170,4.6,7.11E-06
170,4.5,7.11E-06
170,4.3,7.11E-06
170,4.9,7.11E-06
170,5.3,7.11E-06
170,5.1,7.11E-06
170,4.9,7.11E-06
170,4.8,7.11E-06
